@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/usr/bin/python2 '/home/eirik/CERN/beta-Beat/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=model_opticsfile.1_Qx0.31_Qy0.32_beam1/twiss.dat' '--files=/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds' '--output=/home/eirik/CERN/global_coupling_correction3/tracking/outputfiles/' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=model_opticsfile.1_Qx0.31_Qy0.32_beam1/error_deffs.txt' '--coupling=1'"
@ CWD %s "/home/eirik/CERN/global_coupling_correction3/tracking"
@ Date %s "29. April 2021, 14:33:05"
@ Q1 %le 0.30000305175799996
@ MUX %le 0.0
@ Q2 %le 0.332000732422
@ MUY %le 0.0
@ FILES %s "/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds.liny"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEY               STDPHY               PHYMDL               MUYMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
         "BPM.14L3.B1"        "BPM.13L3.B1"          2925.057926          2978.506442                    1       0.141841461384                    0          0.141809429          7.064125015
         "BPM.13L3.B1"        "BPM.12L3.B1"          2978.506442          3031.954958                    1      0.1187381423885                    0           0.11878137          7.205934444
         "BPM.12L3.B1"        "BPM.11L3.B1"          3031.954958          3085.403474                    1      0.1236860213105                    0           0.12371129          7.324715814
         "BPM.11L3.B1"        "BPM.10L3.B1"          3085.403474          3138.184185                    1       0.102865590287                    0          0.102830887          7.448427104
         "BPM.10L3.B1"         "BPM.9L3.B1"          3138.184185          3177.249195                    1       0.124150688072                    0           0.12411071          7.551257991
          "BPM.9L3.B1"         "BPM.8L3.B1"          3177.249195          3217.712206                    1       0.172568408417                    0          0.172625265          7.675368701
          "BPM.8L3.B1"         "BPM.7L3.B1"          3217.712206          3256.776216                    1       0.161444929792                    0          0.161447663          7.847993966
          "BPM.7L3.B1"         "BPM.6L3.B1"          3256.776216          3329.415216                    1       0.121638702549                    0           0.12158679          8.009441629
          "BPM.6L3.B1"      "BPMWG.A5L3.B1"          3329.415216          3371.119716                    1       0.050712690986                    0          0.050705566          8.131028419
       "BPMWG.A5L3.B1"        "BPMW.5L3.B1"          3371.119716          3400.089716                    1       0.016964377034                    0          0.016965356          8.181733985
         "BPMW.5L3.B1"       "BPMWE.4L3.B1"          3400.089716          3475.217716                    1       0.078050232689                    0           0.07807404          8.198699341
        "BPMWE.4L3.B1"        "BPMW.4L3.B1"          3475.217716          3502.762716                    1     0.04593237019031                    0          0.045954208          8.276773381
         "BPMW.4L3.B1"        "BPMW.4R3.B1"          3502.762716          3547.727716                    1      0.7019406316497                    0          0.033956886          8.322727589
         "BPMW.4R3.B1"       "BPMWE.4R3.B1"          3547.727716          3575.272716                    1       0.010680270305                    0          0.010684166          8.356684475
        "BPMWE.4R3.B1"        "BPMW.5R3.B1"          3575.272716          3650.400716                    1       0.067925211877                    0          0.067936754          8.367368641
         "BPMW.5R3.B1"      "BPMWJ.A5R3.B1"          3650.400716          3679.118716                    1         0.0588716202                    0          0.058860385          8.435305395
       "BPMWJ.A5R3.B1"       "BPMWC.6R3.B1"          3679.118716          3718.936716                    1       0.043419236414                    0          0.043401254           8.49416578
        "BPMWC.6R3.B1"        "BPMR.6R3.B1"          3718.936716          3731.015216                    1       0.007608653199                    0          0.007605061          8.537567034
         "BPMR.6R3.B1"       "BPM_A.7R3.B1"          3731.015216          3786.839216                    1      0.0738488442661                    0          0.073816608          8.545172095
        "BPM_A.7R3.B1"         "BPM.8R3.B1"          3786.839216          3825.903227                    1      0.0671021608268                    0          0.067091581          8.618988703
