@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/usr/bin/python2 '/home/eirik/CERN/beta-Beat/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=model_opticsfile.1_Qx0.31_Qy0.32_beam1/twiss.dat' '--files=/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds' '--output=/home/eirik/CERN/global_coupling_correction3/tracking/outputfiles/' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=model_opticsfile.1_Qx0.31_Qy0.32_beam1/error_deffs.txt' '--coupling=1'"
@ CWD %s "/home/eirik/CERN/global_coupling_correction3/tracking"
@ Date %s "29. April 2021, 14:33:05"
@ CG %le 0.00046117720371410305
@ QG %le -1.0915692265640113
@ FILES %s "/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds"
*                 NAME                    S                COUNT               F1001W               FWSTD1               F1001R               F1001I               F1010W               FWSTD2               F1010R               F1010I                Q1001             Q1001STD                Q1010             Q1010STD            MDLF1001R            MDLF1001I            MDLF1010R            MDLF1010I
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
         "BPM.24R2.B1"          1321.602449                    1     0.02722078068182   6.984652383629e-10     0.02711085405675   -0.002443868499217    0.001297262038222   1.047867697569e-09   0.0005987067074109   -0.001150842766981       2.066692445946    0.003591833146335       0.824632964146     0.04943115082632                    0                    0                    0                    0
         "BPM.25R2.B1"          1375.050965                    1     0.02722822193089   5.721594685646e-10     0.02721331062022  -0.0009009964513317    0.001293819601737   4.819174206881e-10   -0.001124078258291  -0.0006406381436324       2.085647875062    0.003582515123976      0.5812357407558     0.04945630678606                    0                    0                    0                    0
         "BPM.26R2.B1"          1428.499481                    1      0.0272305609462   4.434161226851e-10     0.02706676163109   -0.002982258246698    0.001293053179277   6.518815287232e-10  -0.0006516687345788    0.001116832299323        2.06007240771    0.003587136399033       0.333372174761     0.04955647863411                    0                    0                    0                    0
         "BPM.27R2.B1"          1481.947997                    1      0.0272155664764   5.301516088889e-10     0.02718098141009    0.001371607894432    0.001286333411539   3.759128750699e-10    0.001112970837516   0.0006449415171009     0.01682485853662    0.003601449361049       0.083413626695       0.049619575774                    0                    0                    0                    0
         "BPM.28R2.B1"          1535.396513                    1     0.02721873354292   8.084264775652e-10     0.02663096672168   -0.005625928114468    0.001286217384739    1.15382837253e-09   0.0006472936986601   -0.001111470210342       2.027218054245    0.003587096392138      0.8322020860327     0.04956549076326                    0                    0                    0                    0
         "BPM.29R2.B1"          1588.845029                    1     0.02721006917544    9.96669489374e-10      0.0268770912124    -0.00424379929926    0.001290202618998   9.036019234114e-10   -0.001083067179891  -0.0007011335692376       2.044433707619    0.003597434667202      0.5902103114142     0.04954431833947                    0                    0                    0                    0
         "BPM.30R2.B1"          1642.293545                    1     0.02720927118778   1.240213968919e-09     0.02643517701198   -0.006444055781513    0.001290821445741   1.919383919424e-09  -0.0007221129598125    0.001069940595573       2.016903118602    0.003589859771244      0.3437737019807     0.04949456561123                    0                    0                    0                    0
         "BPM.31R2.B1"           1695.74206                    1     0.02722334098005   1.190325686254e-09     0.02715072592099   -0.001987052107916    0.001296996034737   8.935939341881e-10    0.001088714869404   0.0007049103824342       2.072313552788    0.003577347266272     0.09125989133232     0.04944407492534                    0                    0                    0                    0
         "BPM.32R2.B1"          1749.190576                    1     0.02721996012091   7.701166004701e-10     0.02578216493681   -0.008729616266198    0.001296972225163   1.020708941551e-09   0.0006965478339474    -0.00109405578828       1.987747738228    0.003591274403894      0.8384890479946     0.04951404868474                    0                    0                    0                    0
         "BPM.33R2.B1"          1802.639092                    1     0.02722959933889    6.01507333025e-10     0.02618147506984   -0.007482074800737    0.001292503783325    5.79124233207e-10   -0.001046671870546  -0.0007583165732843       2.003804388759    0.003580200487417      0.5985431440797     0.04952976511114                    0                    0                    0                    0
         "BPM.34R2.B1"          1856.087608                    1     0.02723040250229   5.318664462114e-10      0.0254060043268   -0.009799477770954    0.001291778745207    7.37866330747e-10  -0.0007863807786457    0.001024840279041       1.973847108838    0.003589299276053      0.3534313391781     0.04958164188243                    0                    0                    0                    0
         "BPM.33L3.B1"          1909.536124                    1     0.02721768523201   5.516735441158e-10     0.02668626958125   -0.005352140247221    0.001286206413815      4.876373486e-10     0.00103931175339   0.0007577321546593       2.030642514033    0.003600809328515      0.1000550999183     0.04961391540486                    0                    0                    0                    0
         "BPM.32L3.B1"           1962.98464                    1     0.02721670768636   8.225517983963e-10     0.02456849785518    -0.01171059735561    0.001285360028817   1.048762249136e-09   0.0007417142242066   -0.001049766837583       1.948264726906     0.00358964579074      0.8461388672162     0.04969134719466                    0                    0                    0                    0
         "BPM.31L3.B1"          2016.433156                    1     0.02720588987282   9.062239023675e-10     0.02506623217851     -0.0105756535564    0.001290264468444   9.812821504049e-10   -0.001003796973657   -0.000810662712974       1.963463169243    0.003599319391598      0.6068613640627     0.04966571085184                    0                    0                    0                    0
         "BPM.30L3.B1"          2069.881672                    1     0.02720479203948   8.484177852371e-10     0.02390731312919     -0.0129823375728    0.001291178539045   1.095705235533e-09  -0.0008484293845383    0.000973298309432       1.930685435451    0.003589006174631      0.3633526004654      0.0496000306763                    0                    0                    0                    0
         "BPM.29L3.B1"          2123.330188                    1     0.02721590002239   7.418075388298e-10      0.0257954827047   -0.008677458502362      0.0012961240849   6.666133734827e-10    0.001008476815925   0.0008141941753662       1.988405842699    0.003578555342581      0.1078748948716     0.04958504360379                    0                    0                    0                    0
         "BPM.28L3.B1"          2176.778704                    1      0.0272166548541   6.412759183968e-10     0.02300925338193    -0.01453686899759    0.001296918054071   7.578288555129e-10   0.0007911266269314   -0.001027674607614       1.908665322803    0.003589138156711      0.8526439613613     0.04951974271482                    0                    0                    0                    0
