@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/usr/bin/python2 '/home/eirik/CERN/beta-Beat/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=model_opticsfile.1_Qx0.31_Qy0.32_beam1/twiss.dat' '--files=/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds' '--output=/home/eirik/CERN/global_coupling_correction3/tracking/outputfiles/' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=model_opticsfile.1_Qx0.31_Qy0.32_beam1/error_deffs.txt' '--coupling=1'"
@ CWD %s "/home/eirik/CERN/global_coupling_correction3/tracking"
@ Date %s "29. April 2021, 14:33:05"
@ DQMIN %le 0.001011079566612611
@ DQMINE %le 2.59394853956e-05
@ FILES %s ""
*                 NAME                    S                 DETC                DETCE                GAMMA               GAMMAE                  C11                  C12                  C21                  C22
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
          BPM_A.7R2.B1              452.693     0.00263833007262                    0       1.001321781083                    0    -0.04442914395826    -0.03014401144879     0.03014401144879     0.04442914395826
            BPM.8R2.B1          494.1300106    0.002638331630463                    0       1.001321781865                    0    -0.05054724972152    -0.01905469553907     0.01905469553907     0.05054724972152
            BPM.9R2.B1          533.1950212    0.002638330545811                    0       1.001321781321                    0     -0.0389774649882    -0.03097458396244     0.03097458396244      0.0389774649882
           BPM.10R2.B1          573.6580318    0.002638329893759                    0       1.001321780993                    0    -0.02283710238656    -0.04532697345253     0.04532697345253     0.02283710238656
           BPM.11R2.B1          625.4967424    0.002636902838702                    0       1.001321064634                    0    -0.03118630011295    -0.04360171084678     0.04360171084678     0.03118630011295
           BPM.12R2.B1          680.2202583    0.002636972132395                    0       1.001321099418                    0    -0.02050424064353    -0.04822386656313     0.04822386656313     0.02050424064353
           BPM.13R2.B1          733.6687742    0.002636818324089                    0       1.001321022209                    0    -0.02653253895907    -0.04153678608605     0.04153678608605     0.02653253895907
           BPM.14R2.B1          787.1172901    0.002636546095351                    0       1.001320885554                    0    -0.02475510509781    -0.04397601738847     0.04397601738847     0.02475510509781
           BPM.15R2.B1           840.565806    0.002637956483276                    0       1.001321593547                    0    -0.03042327156144    -0.04411074994709     0.04411074994709     0.03042327156144
           BPM.16R2.B1          894.0143219    0.002637776739514                    0       1.001321503318                    0    -0.01698743881765    -0.04962545788423     0.04962545788423     0.01698743881765
           BPM.17R2.B1          947.4628378     0.00263815245749                    0       1.001321691923                    0    -0.01983319806396    -0.04511919036501     0.04511919036501     0.01983319806396
           BPM.18R2.B1          1000.911354    0.002638421788008                    0       1.001321827123                    0    -0.01821152365125    -0.04708776528614     0.04708776528614     0.01821152365125
           BPM.19R2.B1           1054.35987    0.002636974877807                    0       1.001321100796                    0    -0.02516359193968    -0.04728897222065     0.04728897222065     0.02516359193968
           BPM.20R2.B1          1107.808386    0.002637217070626                    0       1.001321222373                    0    -0.01092192972753    -0.05127411819569     0.05127411819569     0.01092192972753
           BPM.21R2.B1          1161.256901    0.002636607195812                    0       1.001320916225                    0    -0.01281570915342    -0.04758197481635     0.04758197481635     0.01281570915342
           BPM.22R2.B1          1214.705417    0.002636352458089                    0       1.001320788351                    0    -0.01107069310723    -0.04924519008246     0.04924519008246     0.01107069310723
           BPM.23R2.B1          1268.153933     0.00263776728178                    0       1.001321498571                    0    -0.01834934109138    -0.05041690974593     0.05041690974593     0.01834934109138
           BPM.24R2.B1          1321.602449    0.002637489624708                    0       1.001321359191                    0   -0.003371666060904    -0.05212388816933     0.05212388816933    0.003371666060904
           BPM.25R2.B1          1375.050965      0.0026382581616                    0       1.001321744985                    0   -0.006354827744974    -0.04880543351346     0.04880543351346    0.006354827744974
           BPM.26R2.B1          1428.499481    0.002638492129071                    0       1.001321862433                    0   -0.004499784538473    -0.05044606614848     0.05044606614848    0.004499784538473
           BPM.27R2.B1          1481.947997     0.00263711020888                    0        1.00132116873                    0    -0.01252798441373    -0.05224410828648     0.05224410828648     0.01252798441373
           BPM.28R2.B1          1535.396513     0.00263742293322                    0       1.001321325713                    0    0.002645132451408    -0.05197301291137     0.05197301291137   -0.002645132451408
           BPM.29R2.B1          1588.845029    0.002636510590632                    0       1.001320867731                    0   0.0001018991961991    -0.04915214174451     0.04915214174451  -0.0001018991961991
           BPM.30R2.B1          1642.293545    0.002636419127696                    0       1.001320821818                    0     0.00224901208632    -0.05072735557374     0.05072735557374    -0.00224901208632
           BPM.31R2.B1           1695.74206    0.002637742293229                    0       1.001321486027                    0   -0.006415653843823    -0.05345670850753     0.05345670850753    0.006415653843823
           BPM.32R2.B1          1749.190576    0.002637402400285                    0       1.001321315406                    0    0.008491329698662    -0.05115498891495     0.05115498891495   -0.008491329698662
