@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/usr/bin/python2 '/home/eirik/CERN/beta-Beat/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=model_opticsfile.1_Qx0.31_Qy0.32_beam1/twiss.dat' '--files=/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds' '--output=/home/eirik/CERN/global_coupling_correction3/tracking/outputfiles/' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=model_opticsfile.1_Qx0.31_Qy0.32_beam1/error_deffs.txt' '--coupling=1'"
@ CWD %s "/home/eirik/CERN/global_coupling_correction3/tracking"
@ Date %s "29. April 2021, 14:33:05"
@ CG %le 0.00046117720371410305
@ QG %le -1.0915692265640113
@ FILES %s "/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds"
*                 NAME                    S                COUNT               F1001W               FWSTD1               F1001R               F1001I               F1010W               FWSTD2               F1010R               F1010I                Q1001             Q1001STD                Q1010             Q1010STD            MDLF1001R            MDLF1001I            MDLF1010R            MDLF1010I
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
         "BPMW.4R3.B1"          3547.727716                    1     0.02606332788973                    0     0.02543819710221   -0.005674080443281    0.001219870700317                    0    0.001202778772212  -0.0002034889446852      0.9594623015919   7.087751928074e-05      0.9703991295661   0.0002396983810185                    0                    0                    0                    0
        "BPMWE.4R3.B1"          3575.272716                    1     0.02606333387281                    0     0.01237617824565    -0.02293747119012    0.001219871947617                    0     0.00048049333209   -0.001121255424245      0.8231404648536   7.088234573785e-05      0.8115086683633   0.0002397948299285                    0                    0                    0                    0
         "BPMW.5R3.B1"          3650.400716                    1     0.02606333802657                    0    0.003689314502188    -0.02580090206933     0.00121987383831                    0  -0.0009323046926618  -0.0007867020664988      0.7669972568544   7.086535111679e-05      0.6086253130319   0.0002396695199557                    0                    0                    0                    0
       "BPMWJ.A5R3.B1"          3679.118716                    1     0.02606333710827                    0     0.01159095530179    -0.02334410624571    0.001219872093053                    0   -0.001189568033419  -0.0002702143913232      0.8177411089622   7.088667420091e-05      0.5326235777835   0.0002397010419683                    0                    0                    0                    0
        "BPMWC.6R3.B1"          3718.936716                    1     0.02606333363696                    0     0.01145473113633    -0.02341124718732    0.001219869938792                    0   -0.001146884234712   0.0004156190800939      0.8168129111978   7.085645933226e-05      0.4417411880838   0.0002400494704913                    0                    0                    0                    0
         "BPMR.6R3.B1"          3731.015216                    1     0.02606333030794                    0    0.006477963449448    -0.02524545852799    0.001219872468769                    0  -0.0009725805629885   0.0007363259390769      0.7843675015572   7.088181511773e-05      0.3939386735516   0.0002397553820947                    0                    0                    0                    0
        "BPM_A.7R3.B1"          3786.839216                    1     0.02606332214657                    0    -0.01215140832783    -0.02305732068056    0.001219872297555                    0   0.0007974657577961   0.0009231125540723      0.6671959455706   7.088467753191e-05      0.1336761182522   0.0002396687418315                    0                    0                    0                    0
          "BPM.8R3.B1"          3825.903227                    1      0.0260633235341                    0    -0.01853395971795    -0.01832455103997    0.001219874048507                    0    0.001188516661423  -0.0002748105524553      0.6184858848413   7.088464224833e-05      0.9609110116328   0.0002394105815066                    0                    0                    0                    0
          "BPM.9R3.B1"          3864.968238                    1     0.02606332543166                    0    -0.02338933011049     -0.0114993986599    0.001219876229311                    0   0.0004272840925966   -0.001142596306248      0.5671161313825   7.087437098566e-05      0.8040304864263    0.000239546511322                    0                    0                    0                    0
         "BPM.10R3.B1"          3905.431248                    1      0.0260633259097                    0     -0.0241624134192   -0.009771117399527    0.001219878166127                    0  -0.0005942920084467   -0.001065326123256      0.5555524615807   7.085312162859e-05      0.6660885275966   0.0002397402290648                    0                    0                    0                    0
         "BPM.11R3.B1"          3958.211959                    1     0.02606087389279                    0    -0.02359828140356    -0.01105849279306    0.001217167418134                    0   -0.001201190676325   0.0001965641953061      0.5641365087136    7.34563659565e-05      0.4712524098167   0.0002050018658806                    0                    0                    0                    0
         "BPM.12R3.B1"          4012.935475                    1     0.02606599841404                    0     -0.0219171034228    -0.01410945962378    0.001216546103867                    0  -1.584992232808e-05    0.001216442848142      0.5854243167763   6.891460275299e-05      0.2491268043355    0.000183706736982                    0                    0                    0                    0
         "BPM.13R3.B1"          4066.383991                    1     0.02606674738862                    0    -0.02207229824227    -0.01386682983693    0.001215896110386                    0    0.001205988100578   0.0001549065928791      0.5836655936093   7.077077717433e-05     0.01738434726714   0.0002406205343912                    0                    0                    0                    0
         "BPM.14R3.B1"          4119.832506                    1     0.02606185335383                    0    -0.02060363844499    -0.01595964545548     0.00121628400341                    0    0.000192814174651   -0.001200903606042      0.5992839186656   7.319497992309e-05       0.772377038293   0.0001829585247551                    0                    0                    0                    0
         "BPM.15R3.B1"          4173.281022                    1     0.02606325478012                    0    -0.02335255709386    -0.01157373435462    0.001218145230824                    0   -0.001196725238336  -0.0002274346220522      0.5676231050446    6.89789334946e-05      0.5269316411219   0.0002654440243147                    0                    0                    0                    0
         "BPM.16R3.B1"          4226.729538                    1     0.02605768931723                    0    -0.02204496814638     -0.0138932556292    0.001217409722666                    0  -0.0002808816065445    0.001184564036237      0.5838897298988   7.367983279388e-05      0.2841077977905   0.0003200566872213                    0                    0                    0                    0
         "BPM.17R3.B1"          4280.178054                    1     0.02605710694915                    0    -0.02373916079207    -0.01074360588664    0.001217741179849                    0    0.001176815175441   0.0003130489162306      0.5620279993678   7.075007865242e-05     0.03843742699321   0.0002429469471328                    0                    0                    0                    0
         "BPM.18R3.B1"           4333.62657                    1     0.02606164763957                    0    -0.02251848075649    -0.01311973712041    0.001216763089335                    0   0.0003336329423882   -0.001170128828515      0.5783516442496   6.841336008275e-05       0.791274127804   0.0003005595368483                    0                    0                    0                    0
         "BPM.19R3.B1"          4387.075086                    1     0.02606002989117                    0    -0.02465091041589   -0.008453269994295    0.001214829886347                    0    -0.00115892955258   -0.000364271800883      0.5469678202361   7.276649131934e-05      0.5455302511547   0.0002250498108391                    0                    0                    0                    0
         "BPM.20R3.B1"          4440.523602                    1     0.02606658043424                    0    -0.02371520986588    -0.01081921607845    0.001216540439042                    0    -0.00043379586965    0.001136570184062       0.562511340715    6.71266325406e-05       0.305077730427   0.0001510144453941                    0                    0                    0                    0
         "BPM.21R3.B1"          4493.972118                    1     0.02606693058937                    0    -0.02499065901904   -0.007412950299644    0.001216543873378                    0     0.00112288980417   0.0004680785014767      0.5402853780963   7.130383090182e-05     0.05990759364079   0.0002458019937778                    0                    0                    0                    0
