@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/usr/bin/python2 '/home/eirik/CERN/beta-Beat/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=model_opticsfile.1_Qx0.31_Qy0.32_beam1/twiss.dat' '--files=/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds' '--output=/home/eirik/CERN/global_coupling_correction3/tracking/outputfiles/' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=model_opticsfile.1_Qx0.31_Qy0.32_beam1/error_deffs.txt' '--coupling=1'"
@ CWD %s "/home/eirik/CERN/global_coupling_correction3/tracking"
@ Date %s "29. April 2021, 14:33:05"
@ Q1 %le 0.31000305175799797
@ MUX %le 63.310003051758
@ Q2 %le 0.32000073242199956
@ MUY %le 61.32000073242199
@ FILES %s "/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds.linx"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEX               STDPHX               PHXMDL               MUXMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMCS.8L4.B1"         "BPM.8L4.B1"          6549.293422          6549.485422                    1    0.001963564048272                    0    0.001964210000001           15.4248607
          "BPM.8L4.B1"       "BPMCS.7L4.B1"          6549.485422          6588.357433                    1      0.1858985243945                    0            0.1859207          15.42682491
        "BPMCS.7L4.B1"         "BPM.7L4.B1"          6588.357433          6588.549433                    1   0.0002320621139063                    0   0.0002320200000003          15.61274561
          "BPM.7L4.B1"       "BPMYB.6L4.B1"          6588.549433          6685.153433                    1      0.1121964710603                    0           0.11216324          15.61297763
        "BPMYB.6L4.B1"       "BPMYA.5L4.B1"          6685.153433          6722.153433                    1     0.02430377855307                    0           0.02430123          15.72514087
        "BPMYA.5L4.B1"      "BPMWI.A5L4.B1"          6722.153433          6798.755933                    1     0.03193540509094                    0           0.03194732           15.7494421
       "BPMWI.A5L4.B1"      "BPMWA.B5L4.B1"          6798.755933          6824.619933                    1     0.01391789631814                    0            0.0139241          15.78138942
       "BPMWA.B5L4.B1"      "BPMWA.A5L4.B1"          6824.619933          6833.504933                    1    0.005200248262314                    0    0.005202669999999          15.79531352
       "BPMWA.A5L4.B1"      "BPMWA.A5R4.B1"          6833.504933          6881.553933                    1     0.03190229041311                    0           0.03191757          15.80051619
       "BPMWA.A5R4.B1"      "BPMWA.B5R4.B1"          6881.553933          6890.438933                    1    0.006561927494512                    0    0.006565029999999          15.83243376
       "BPMWA.B5R4.B1"       "BPMYB.5R4.B1"          6890.438933          6992.829433                    1     0.08250145577802                    0           0.08252893          15.83899879
        "BPMYB.5R4.B1"       "BPMYA.6R4.B1"          6992.829433          7024.393433                    1      0.0155807828095                    0           0.01558219          15.92152772
        "BPMYA.6R4.B1"       "BPMCS.7R4.B1"          7024.393433          7120.717433                    1       0.165841224083                    0            0.1657881          15.93710991
        "BPMCS.7R4.B1"         "BPM.7R4.B1"          7120.717433          7120.909433                    1    0.001317022998512                    0    0.001316459999998          16.10289801
          "BPM.7R4.B1"       "BPMCS.8R4.B1"          7120.909433          7158.506443                    1      0.1421399350107                    0           0.14212595          16.10421447
        "BPMCS.8R4.B1"         "BPM.8R4.B1"          7158.506443          7158.698443                    1   0.0002663642346538                    0   0.0002664400000008          16.24634042
          "BPM.8R4.B1"       "BPMCS.9R4.B1"          7158.698443          7197.571454                    1      0.1308474383791                    0           0.13090271          16.24660686
        "BPMCS.9R4.B1"         "BPM.9R4.B1"          7197.571454          7197.763454                    1    0.001594041360429                    0    0.001594609999998          16.37750957
          "BPM.9R4.B1"      "BPMCS.10R4.B1"          7197.763454          7238.034465                    1      0.1649600987239                    0           0.16494669          16.37910418
