@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/usr/bin/python2 '/home/eirik/CERN/beta-Beat/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=model_opticsfile.1_Qx0.31_Qy0.32_beam1/twiss.dat' '--files=/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds' '--output=/home/eirik/CERN/global_coupling_correction3/tracking/outputfiles/' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=model_opticsfile.1_Qx0.31_Qy0.32_beam1/error_deffs.txt' '--coupling=1'"
@ CWD %s "/home/eirik/CERN/global_coupling_correction3/tracking"
@ Date %s "29. April 2021, 14:33:05"
@ Q1 %le 0.30000305175799996
@ MUX %le 0.0
@ Q2 %le 0.332000732422
@ MUY %le 0.0
@ FILES %s "/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds.linx"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEX               STDPHX               PHXMDL               MUXMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
        "BPMYA.6R4.B1"       "BPMCS.7R4.B1"          7024.393433          7120.717433                    1       0.165357376372                    0           0.16530918          15.91999176
        "BPMCS.7R4.B1"         "BPM.7R4.B1"          7120.717433          7120.909433                    1       0.001392978575                    0    0.001392389999999          16.08530094
          "BPM.7R4.B1"       "BPMCS.8R4.B1"          7120.909433          7158.506443                    1       0.150065231083                    0           0.15005032          16.08669333
        "BPMCS.8R4.B1"         "BPM.8R4.B1"          7158.506443          7158.698443                    1       0.000271661314                    0   0.0002717399999987          16.23674365
          "BPM.8R4.B1"       "BPMCS.9R4.B1"          7158.698443          7197.571454                    1       0.127069720554                    0           0.12712141          16.23701539
        "BPMCS.9R4.B1"         "BPM.9R4.B1"          7197.571454          7197.763454                    1       0.001493858881                    0           0.00149437           16.3641368
          "BPM.9R4.B1"      "BPMCS.10R4.B1"          7197.763454          7238.034465                    1       0.158587479236                    0           0.15857843          16.36563117
       "BPMCS.10R4.B1"        "BPM.10R4.B1"          7238.034465          7238.226465                    1       0.000209607257                    0   0.0002095200000021           16.5242096
         "BPM.10R4.B1"        "BPM.11R4.B1"          7238.226465          7290.065175                    1      0.1187657365688                    0           0.11871915          16.52441912
         "BPM.11R4.B1"        "BPM.12R4.B1"          7290.065175          7344.788691                    1      0.1386165107482                    0           0.13863736          16.64313827
         "BPM.12R4.B1"        "BPM.13R4.B1"          7344.788691          7398.237207                    1       0.107566107051                    0           0.10761272          16.78177563
         "BPM.13R4.B1"        "BPM.14R4.B1"          7398.237207          7451.685723                    1       0.131368358979                    0           0.13136009          16.88938835
         "BPM.14R4.B1"        "BPM.15R4.B1"          7451.685723          7505.134239                    1       0.119559328824                    0           0.11951047          17.02074844
